date,trade_date,symbol,weight,beta,actual_funding,price_change,price_return_contrib,funding_return_contrib,iteration
2023-04-02,2023-04-01,1000SHIBUSDT,0.10802520615461886,0.9902264146147552,0.00030000000000000003,-0.035241563,-0.0038069770945802985,-3.240756184638566e-05,1
2023-04-02,2023-04-01,ADAUSDT,0.15656021590214897,0.9516152682476335,0.00013883,-0.027047718,-0.004234596560939811,-2.173525477369534e-05,1
2023-04-02,2023-04-01,BNBUSDT,0.3094925146408274,0.6925259754774457,-0.00065343,-0.0036540222,-0.0011308925301946628,0.00020223169384175584,1
2023-04-02,2023-04-01,DOGEUSDT,0.11397951478409113,0.9755793040250541,0.00030000000000000003,-0.034583878,-0.003941853607815454,-3.419385443522734e-05,1
2023-04-02,2023-04-01,DOTUSDT,0.10742858049154975,0.9992274353433922,0.00028249000000000004,-0.012771972,-0.0013720748709268827,-3.0347499703057896e-05,1
2023-04-02,2023-04-01,DYDXUSDT,-0.04960285486490092,1.4933370126232965,0.00030000000000000003,-0.015034515,0.0007457548858791684,1.4880856459470276e-05,1
2023-04-02,2023-04-01,ETCUSDT,0.039162709505746116,1.0654941664968451,0.00030000000000000003,-0.03857568,-0.001510728113162374,-1.1748812851723836e-05,1
2023-04-02,2023-04-01,FILUSDT,-0.04860291454442755,1.4498727117732682,0.00030000000000000003,-0.037493505,0.0018222935992592644,1.4580874363328266e-05,1
2023-04-02,2023-04-01,FTMUSDT,-0.13613195513131934,1.6314629784336923,0.00030000000000000003,-0.03852702,0.005244758465674881,4.083958653939581e-05,1
2023-04-02,2023-04-01,GALAUSDT,-0.0934462860541466,1.5183534939707084,0.00023683,-0.022672426,0.0021186540013822864,2.2130883926203537e-05,1
2023-04-02,2023-04-01,GMTUSDT,-0.03369200758935712,1.3867903098103591,0.00029152000000000003,-0.038500268,0.0012971513220621973,9.821894052449388e-06,1
2023-04-02,2023-04-01,LDOUSDT,-0.05992284986849472,1.5055732934439696,0.00030000000000000003,-0.028761348,0.0017234619235857573,1.7976854960548418e-05,1
2023-04-02,2023-04-01,LINKUSDT,0.15528076650190156,0.9709024916694611,0.00029032,-0.03936381,-0.006112442423072405,-4.508111213083206e-05,1
2023-04-02,2023-04-01,LTCUSDT,0.04995020374331901,1.0476135087533414,0.00030000000000000003,0.002594291,0.0001295853640042569,-1.4985061122995704e-05,1
2023-04-02,2023-04-01,MASKUSDT,-0.02071496074941978,1.4824831848849462,6.450000000000004e-06,-0.05492862,0.0011378441951925924,1.3361149683375768e-07,1
2023-04-02,2023-04-01,OPUSDT,-0.10811036967217925,1.605833880864418,0.00021543000000000002,-0.033068366,0.003575033310417706,2.3290216938477577e-05,1
2023-04-02,2023-04-01,SNXUSDT,-0.05545007786024952,1.5218663833133999,0.00030000000000000003,-0.008142656,0.0004515108934051601,1.6635023358074856e-05,1
